Consumer,Year,Hour,Mean,Std
B11000606,2013,3,18.16393442622951,1.933738416201913
B11000606,2013,4,18.40983606557377,2.108530682571222
B11000606,2013,5,18.131147540983605,1.87505919760831
B11000606,2013,6,18.114754098360656,1.4153722791282124
B11000606,2013,7,18.131147540983605,1.488572132795559
B11000606,2013,8,18.491803278688526,2.5008195378027054
B11000606,2013,9,25.57377049180328,4.663543060783445
B11000606,2013,10,41.59016393442623,9.938774319435852
B11000606,2013,11,50.98360655737705,10.993167276811368
B11000606,2013,12,53.81967213114754,10.912543542060991
B11000606,2013,13,56.40983606557377,12.266997797859
B11000606,2013,14,65.78688524590164,11.077175864660271
B11000606,2013,15,73.27868852459017,11.03197043073899
B11000606,2013,16,75.81967213114754,10.92933086808354
B11000606,2013,17,79.1639344262295,10.682041515036428
B11000606,2013,18,83.44262295081967,10.760304503380212
B11000606,2013,19,86.63934426229508,10.612936739164528
B11000606,2013,20,85.40983606557377,11.577819381876031
B11000606,2013,21,81.88524590163935,13.142930115535801
B11000606,2013,22,75.75409836065573,14.459893657636764
B11000606,2013,23,62.24590163934426,13.551944187341926
B11000606,2013,24,41.18032786885246,9.68419364518167
B11000607,2013,1,75.50819672131148,7.5776490435571375
B11000607,2013,2,69.0327868852459,6.2502458968021255
B11000607,2013,3,65.14754098360656,5.864685457816615
B11000607,2013,4,62.42622950819672,5.560152924735801
B11000607,2013,5,62.26229508196721,5.70351248309397
B11000607,2013,6,62.08196721311475,5.416933578963942
B11000607,2013,7,62.622950819672134,5.701356372028881
B11000607,2013,8,64.40983606557377,6.596405711143829
B11000607,2013,9,76.04918032786885,9.227542521365402
B11000607,2013,10,104.52459016393442,27.44910839922798
B11000607,2013,11,150.327868852459,47.3771116720143
B11000607,2013,12,173.50819672131146,50.71312221730509
B11000607,2013,13,176.0655737704918,50.34278129399787
B11000607,2013,14,175.68852459016392,48.34305913076063
B11000607,2013,15,180.54098360655738,46.36362574637285
B11000607,2013,16,180.18032786885246,44.87297189352825
B11000607,2013,17,169.72131147540983,44.42601758262118
B11000607,2013,18,174.24590163934425,42.033580122605514
B11000607,2013,19,169.86885245901638,40.27384403879523
B11000607,2013,20,154.0655737704918,32.6633682956198
B11000607,2013,21,138.0983606557377,25.776413584278156
B11000607,2013,22,124.22950819672131,19.335109208055478
B11000607,2013,23,107.73770491803279,16.404167803076003
B11000607,2013,24,87.37704918032787,10.562770997590594
B11000613,2013,1,57.950819672131146,9.286955420567418
B11000613,2013,2,56.16393442622951,8.953919677751662
B11000613,2013,3,42.442622950819676,6.900542466994737
B11000613,2013,4,41.01639344262295,6.383551266807237
B11000613,2013,5,28.688524590163933,8.375641236360268
B11000613,2013,6,14.098360655737705,8.211181234619021
B11000613,2013,7,8.655737704918034,4.9087854774259565
B11000613,2013,8,8.295081967213115,4.079804988374984
B11000613,2013,9,10.639344262295081,4.636927096275599
B11000613,2013,10,41.16393442622951,6.807300805921176
B11000613,2013,11,55.34426229508197,9.217529036029921
B11000613,2013,12,56.32786885245902,9.9527572586284
B11000613,2013,13,58.557377049180324,11.418588047804532
B11000613,2013,14,60.950819672131146,11.230058221143521
B11000613,2013,15,62.83606557377049,10.625724019047443
B11000613,2013,16,63.60655737704918,10.775402062915626
B11000613,2013,17,64.8360655737705,10.945593219600378
B11000613,2013,18,64.67213114754098,10.94032496695202
B11000613,2013,19,63.557377049180324,10.965893473499145
B11000613,2013,20,63.75409836065574,11.005537602657002
B11000613,2013,21,63.21311475409836,11.274033224033536
B11000613,2013,22,61.442622950819676,11.160233853828116
B11000613,2013,23,60.26229508196721,10.683166882755728
B11000613,2013,24,59.73770491803279,9.89596153210029
B11000622,2013,1,92.21311475409836,5.0070442182268255
B11000622,2013,2,58.78688524590164,6.143057745939342
B11000622,2013,3,44.032786885245905,4.098646984533449
B11000622,2013,4,41.59016393442623,4.0098921397810185
B11000622,2013,5,41.9344262295082,3.623390918550451
B11000622,2013,6,42.57377049180328,5.191207362433273
B11000622,2013,7,58.91803278688525,6.7732195248818305
B11000622,2013,8,91.62295081967213,9.299039259382713
B11000622,2013,9,104.62295081967213,8.384835387822132
B11000622,2013,10,108.73770491803279,9.023860296170854
B11000622,2013,11,109.90163934426229,8.878259810782717
B11000622,2013,12,110.57377049180327,9.319261444974135
B11000622,2013,13,109.8360655737705,8.515046149549734
B11000622,2013,14,111.52459016393442,8.692154618537817
B11000622,2013,15,108.9672131147541,9.574214002751964
B11000622,2013,16,109.21311475409836,9.000212505080755
B11000622,2013,17,109.04918032786885,9.118527347308149
B11000622,2013,18,106.77049180327869,8.552569677437987
B11000622,2013,19,100.70491803278688,6.871060719411236
B11000622,2013,20,104.32786885245902,6.737262825696624
B11000622,2013,21,99.24590163934427,6.893609934098191
B11000622,2013,22,94.80327868852459,6.198977528945527
B11000622,2013,23,92.62295081967213,5.953049455044671
B11000622,2013,24,91.95081967213115,5.207130462190594
B11000627,2013,1,42.49180327868852,1.349357264523523
B11000627,2013,2,41.34426229508197,1.250136604557536
B11000627,2013,3,41.459016393442624,1.0889409303202704
B11000627,2013,4,40.73770491803279,1.138736717365085
B11000627,2013,5,41.59016393442623,1.131032701860382
B11000627,2013,6,41.885245901639344,1.450268488427088
B11000627,2013,7,44.59016393442623,2.7287179479279757
B11000627,2013,8,54.78688524590164,7.8083603786760944
B11000627,2013,9,83.1639344262295,27.686446941821462
B11000627,2013,10,89.42622950819673,31.247111341900304
B11000627,2013,11,91.29508196721312,29.88552841666296
B11000627,2013,12,93.22950819672131,31.41198998398698
B11000627,2013,13,89.08196721311475,29.193204164649476
B11000627,2013,14,94.70491803278688,33.26927725008719
B11000627,2013,15,95.55737704918033,33.747357718871335
B11000627,2013,16,95.19672131147541,36.1196251697657
B11000627,2013,17,91.78688524590164,30.330465846569936
B11000627,2013,18,79.0,22.34651352373937
B11000627,2013,19,66.78688524590164,15.248076112631786
B11000627,2013,20,62.81967213114754,11.32476371603592
B11000627,2013,21,58.885245901639344,8.80170127618469
B11000627,2013,22,54.49180327868852,6.198448598425448
B11000627,2013,23,48.24590163934426,3.053171780869407
B11000627,2013,24,43.885245901639344,1.7990586488099611
B11000631,2013,1,58.08196721311475,4.271202336451307
B11000631,2013,2,56.721311475409834,5.272985073437952
B11000631,2013,3,57.31147540983606,3.871007550180174
B11000631,2013,4,57.57377049180328,4.133033657389539
B11000631,2013,5,59.557377049180324,5.071241104384391
B11000631,2013,6,67.29508196721312,6.581145448159923
B11000631,2013,7,77.04918032786885,7.392397512553458
