Consumer,Hour,Mean,Std
B11000917,16,202.80327868852459,76.91890975420019
B11000917,17,200.34426229508196,75.81791934172455
B11000917,18,194.44262295081967,72.18748917312563
B11000917,19,176.2295081967213,62.347096490067095
B11000917,20,161.68852459016392,54.40845552163189
B11000917,21,144.75409836065575,45.34626549870286
B11000917,22,132.13114754098362,39.2563977911322
B11000917,23,115.8688524590164,30.20719456687732
B11000917,24,101.59016393442623,22.903487492462535
B11000918,1,8.40983606557377,9.561495611763947
B11000918,2,7.311475409836065,3.6419278969760476
B11000918,3,6.737704918032787,1.0386251843578465
B11000918,4,6.639344262295082,0.8499332063485718
B11000918,5,6.60655737704918,0.83526158707259
B11000918,6,6.655737704918033,0.7440528339613258
B11000918,7,10.918032786885245,34.87227048227702
B11000918,8,12.180327868852459,31.55349773899295
B11000918,9,41.90163934426229,22.659058853628995
B11000918,10,96.0,24.922831720805856
B11000918,11,130.9672131147541,13.929526621727021
B11000918,12,134.81967213114754,22.300855086687147
B11000918,13,136.24590163934425,18.199852042007947
B11000918,14,136.29508196721312,17.302841861055406
B11000918,15,138.31147540983608,21.112921211558124
B11000918,16,139.08196721311475,21.14531695002366
B11000918,17,141.14754098360655,22.075753382293918
B11000918,18,141.78688524590163,18.42585029654713
B11000918,19,149.70491803278688,15.706680485657284
B11000918,20,148.9016393442623,12.572028434262096
B11000918,21,58.16393442622951,16.987150715712243
B11000918,22,13.754098360655737,15.206400440307393
B11000918,23,9.967213114754099,13.984730798694667
B11000918,24,9.508196721311476,14.75440801132256
B11000919,1,26.983606557377048,4.5646245003077155
B11000919,2,15.721311475409836,2.964993282501354
B11000919,3,15.114754098360656,3.525543142230585
B11000919,4,14.426229508196721,3.5225689973041856
B11000919,5,13.868852459016393,3.291695511265796
B11000919,6,13.80327868852459,4.222576604944875
B11000919,7,13.737704918032787,3.9954959861351025
B11000919,8,14.852459016393443,1.7818397710321263
B11000919,9,17.57377049180328,2.9668055149806207
B11000919,10,29.540983606557376,5.174254584761749
B11000919,11,33.68852459016394,5.135989963496136
B11000919,12,39.73770491803279,6.0946136911271225
B11000919,13,44.885245901639344,7.628888926377668
B11000919,14,45.868852459016395,8.112882711851839
B11000919,15,43.40983606557377,7.4709866120032675
B11000919,16,40.40983606557377,7.309049071786373
B11000919,17,38.19672131147541,6.769797130241628
B11000919,18,39.08196721311475,6.394913660108046
B11000919,19,43.59016393442623,6.539607069913544
B11000919,20,44.622950819672134,6.453271973310572
B11000919,21,44.59016393442623,5.39391596906387
B11000919,22,42.721311475409834,4.892721752653087
B11000919,23,40.18032786885246,3.830456877776072
B11000919,24,37.704918032786885,3.355173457171418
B11000921,1,13.39344262295082,4.736598656934299
B11000921,2,13.180327868852459,4.66767115281943
B11000921,3,13.37704918032787,4.852459016393443
B11000921,4,13.229508196721312,4.774912041496804
B11000921,5,13.163934426229508,4.70151816383606
B11000921,6,13.131147540983607,4.6499617831536035
B11000921,7,17.34426229508197,5.872651943477842
B11000921,8,17.737704918032787,5.931028825534409
B11000921,9,23.049180327868854,8.83255199463743
B11000921,10,31.18032786885246,13.722672631626725
B11000921,11,32.16393442622951,14.184013545467137
B11000921,12,32.36065573770492,14.112002549725204
B11000921,13,29.557377049180328,12.495933227193943
B11000921,14,29.901639344262296,12.840388276179276
B11000921,15,33.049180327868854,14.859369434261849
B11000921,16,32.68852459016394,14.984736478542509
B11000921,17,32.36065573770492,14.672415053577046
B11000921,18,30.524590163934427,13.212768982173898
B11000921,19,24.65573770491803,9.389364834576142
B11000921,20,21.60655737704918,7.780342376310282
B11000921,21,19.42622950819672,6.860337458586614
B11000921,22,16.983606557377048,5.962978140511609
B11000921,23,15.098360655737705,5.309147435594369
B11000921,24,13.885245901639344,4.875829851708432
B11000922,1,84.22950819672131,8.697829845451372
B11000922,2,83.1639344262295,8.88022361236113
B11000922,3,82.62295081967213,8.964710292972415
B11000922,4,81.91803278688525,8.860105986797544
B11000922,5,81.06557377049181,8.90545762386524
B11000922,6,80.70491803278688,9.052387172335898
B11000922,7,79.24590163934427,8.730304743155187
B11000922,8,80.60655737704919,8.138712768331144
B11000922,9,90.9672131147541,8.680045352141764
B11000922,10,98.62295081967213,10.876601347223946
B11000922,11,101.47540983606558,11.161418555734603
B11000922,12,103.65573770491804,11.312093116894841
B11000922,13,93.1639344262295,8.981183112155144
B11000922,14,103.52459016393442,11.349307131848095
B11000922,15,104.63934426229508,11.976798317190775
B11000922,16,104.72131147540983,11.803210382316017
