Consumer,Contract,Hour,Mean,Std
Original1351_B11003520,高圧小口,4,22.475409836065573,5.603296914089439
Original1351_B11003520,高圧小口,5,23.508196721311474,6.370070774035306
Original1351_B11003520,高圧小口,6,39.39344262295082,8.351457492360712
Original1351_B11003520,高圧小口,7,43.49180327868852,8.340348207574777
Original1351_B11003520,高圧小口,8,43.18032786885246,6.213439154124727
Original1351_B11003520,高圧小口,9,45.049180327868854,6.291879308265294
Original1351_B11003520,高圧小口,10,52.032786885245905,5.200779301991647
Original1351_B11003520,高圧小口,11,51.868852459016395,5.090896438939035
Original1351_B11003520,高圧小口,12,47.75409836065574,4.751723544784869
Original1351_B11003520,高圧小口,13,44.540983606557376,4.987110502451864
Original1351_B11003520,高圧小口,14,54.98360655737705,5.236980118659578
Original1351_B11003520,高圧小口,15,59.131147540983605,5.927085397233662
Original1351_B11003520,高圧小口,16,50.131147540983605,5.715883563602209
Original1351_B11003520,高圧小口,17,48.75409836065574,5.818725390551873
Original1351_B11003520,高圧小口,18,49.032786885245905,5.219657714783617
Original1351_B11003520,高圧小口,19,50.114754098360656,6.111259054778675
Original1351_B11003520,高圧小口,20,48.60655737704918,4.169674628673436
Original1351_B11003520,高圧小口,21,30.540983606557376,3.3317832102924996
Original1351_B11003520,高圧小口,22,23.672131147540984,3.6201680582102216
Original1351_B11003520,高圧小口,23,22.57377049180328,4.201713219641825
Original1351_B11003520,高圧小口,24,22.0,4.623532110878854
Original1352_B11003521,高圧小口,1,27.311475409836067,3.180581365594318
Original1352_B11003521,高圧小口,2,26.9672131147541,3.1981921794784607
Original1352_B11003521,高圧小口,3,27.278688524590162,3.0948457814856924
Original1352_B11003521,高圧小口,4,27.24590163934426,3.0817056045229454
Original1352_B11003521,高圧小口,5,28.9672131147541,3.187924002605046
Original1352_B11003521,高圧小口,6,40.459016393442624,3.965315899150927
Original1352_B11003521,高圧小口,7,44.885245901639344,4.145304911388889
Original1352_B11003521,高圧小口,8,45.0,4.326813085333112
Original1352_B11003521,高圧小口,9,50.622950819672134,4.6488635467466475
Original1352_B11003521,高圧小口,10,55.67213114754098,6.310857964262499
Original1352_B11003521,高圧小口,11,55.967213114754095,5.9834942724699305
Original1352_B11003521,高圧小口,12,55.21311475409836,6.46837135631721
Original1352_B11003521,高圧小口,13,48.704918032786885,6.106551875891459
Original1352_B11003521,高圧小口,14,56.14754098360656,6.290341452781608
Original1352_B11003521,高圧小口,15,54.24590163934426,7.060988965481609
Original1352_B11003521,高圧小口,16,52.704918032786885,6.405285374671943
Original1352_B11003521,高圧小口,17,50.36065573770492,6.137850285514067
Original1352_B11003521,高圧小口,18,47.42622950819672,5.812533141505215
Original1352_B11003521,高圧小口,19,43.83606557377049,5.755055732788637
Original1352_B11003521,高圧小口,20,44.131147540983605,5.547042957143526
Original1352_B11003521,高圧小口,21,39.540983606557376,5.081544138920455
Original1352_B11003521,高圧小口,22,30.42622950819672,4.138816716910577
